"","row","col","correlation","var1","var2"
"Distance_C_Last_5_2",13,12,0.967910659179897,"Distance_C_Last_5_2","Distance_C_Last_5"
"Distance_C_Last_5",12,13,0.967910659179897,"Distance_C_Last_5","Distance_C_Last_5_2"
"Sprint_C_Last_5_2",11,10,0.964893156345855,"Sprint_C_Last_5_2","Sprint_C_Last_5"
"Sprint_C_Last_5",10,11,0.964893156345855,"Sprint_C_Last_5","Sprint_C_Last_5_2"
"Sprint_F_Last_5_2",15,14,0.964688385434082,"Sprint_F_Last_5_2","Sprint_F_Last_5"
"Sprint_F_Last_5",14,15,0.964688385434082,"Sprint_F_Last_5","Sprint_F_Last_5_2"
"Distance_F_Last_5_2",17,16,0.962871311609861,"Distance_F_Last_5_2","Distance_F_Last_5"
"Distance_F_Last_5",16,17,0.962871311609861,"Distance_F_Last_5","Distance_F_Last_5_2"
"Distance_Last_5_2",19,18,0.910330115315181,"Distance_Last_5_2","Distance_Last_5"
"Distance_Last_5.1",18,19,0.910330115315181,"Distance_Last_5","Distance_Last_5_2"
"Classic_Pelo_Pct",9,2,0.805964454168448,"Classic_Pelo_Pct","Distance_C_Pelo_Pct"
"Distance_C_Pelo_Pct.1",2,9,0.805964454168448,"Distance_C_Pelo_Pct","Classic_Pelo_Pct"
"Sprint_C_Pelo_Pct",6,5,0.804979346588421,"Sprint_C_Pelo_Pct","Sprint_Pelo_Pct"
"Sprint_Pelo_Pct",5,6,0.804979346588421,"Sprint_Pelo_Pct","Sprint_C_Pelo_Pct"
"Pelo_Pct",4,1,0.781045405388018,"Pelo_Pct","Distance_Pelo_Pct"
"Distance_Pelo_Pct.2",1,4,0.781045405388018,"Distance_Pelo_Pct","Pelo_Pct"
"Freestyle_Pelo_Pct.1",8,3,0.779570225875968,"Freestyle_Pelo_Pct","Distance_F_Pelo_Pct"
"Distance_F_Pelo_Pct.1",3,8,0.779570225875968,"Distance_F_Pelo_Pct","Freestyle_Pelo_Pct"
"Distance_F_Pelo_Pct",3,1,0.773427468282063,"Distance_F_Pelo_Pct","Distance_Pelo_Pct"
"Distance_Pelo_Pct.1",1,3,0.773427468282063,"Distance_Pelo_Pct","Distance_F_Pelo_Pct"
"Distance_C_Pelo_Pct",2,1,0.754494738378423,"Distance_C_Pelo_Pct","Distance_Pelo_Pct"
"Distance_Pelo_Pct",1,2,0.754494738378423,"Distance_Pelo_Pct","Distance_C_Pelo_Pct"
"Freestyle_Pelo_Pct.2",8,4,0.75092875675205,"Freestyle_Pelo_Pct","Pelo_Pct"
"Pelo_Pct.1",4,8,0.75092875675205,"Pelo_Pct","Freestyle_Pelo_Pct"
"Classic_Pelo_Pct.1",9,4,0.730442696492476,"Classic_Pelo_Pct","Pelo_Pct"
"Pelo_Pct.2",4,9,0.730442696492476,"Pelo_Pct","Classic_Pelo_Pct"
"Freestyle_Pelo_Pct",8,1,0.720084463203021,"Freestyle_Pelo_Pct","Distance_Pelo_Pct"
"Distance_Pelo_Pct.3",1,8,0.720084463203021,"Distance_Pelo_Pct","Freestyle_Pelo_Pct"
"Sprint_F_Pelo_Pct",7,5,0.719542456936879,"Sprint_F_Pelo_Pct","Sprint_Pelo_Pct"
"Sprint_Pelo_Pct.1",5,7,0.719542456936879,"Sprint_Pelo_Pct","Sprint_F_Pelo_Pct"
"Distance_Last_5",18,17,0.703558077631083,"Distance_Last_5","Distance_F_Last_5_2"
"Distance_F_Last_5_2.1",17,18,0.703558077631083,"Distance_F_Last_5_2","Distance_Last_5"
